CONFIGURATION_1-PLANE_1-OBJECT_1-REDSHIFT CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-g CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-r CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-z CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-Y WEIGHT
0.501 22.6 20.745 19.67 17.82525777 22.27561991 1.0
0.837 25.352 22.691 21.404 21.95618973 22.64647241 1.0
0.999 27.24 24.383 23.139 17.42592855 20.4564339 1.0
0.838 23.426 20.762 19.475 19.0079825 20.24071706 1.0
0.492 20.592 18.725 17.684 19.77046196 21.01136005 1.0
0.348 20.916 18.963 18.304 18.65624937 20.24324745 1.0
0.29 19.616 17.869 17.244 19.34823374 21.43065859 1.0
0.326 18.786 16.891 16.244 18.12696728 18.95010454 1.0
0.352 19.829 17.87 17.21 20.53292163 20.62338634 1.0
0.632 23.596 21.674 20.268 18.94611945 18.46168291 1.0
0.306 21.804 19.991 19.356 20.02473354 20.56492985 1.0
0.395 19.589 17.638 16.923 21.44172242 19.94307281 1.0
0.105 17.091 16.005 15.616 20.63512785 21.1473366 1.0
0.316 19.343 17.485 16.843 20.0136197 21.05250978 1.0
0.309 19.808 17.982 17.346 19.19897033 20.92528887 1.0
0.263 19.453 17.794 17.202 20.51062161 20.10863393 1.0
0.404 20.285 18.343 17.609 19.32876442 21.29521391 1.0
0.197 19.186 17.738 17.218 19.80454938 20.62157718 1.0
0.265 19.985 18.321 17.726 18.60263081 20.89259407 1.0
0.309 18.556 16.731 16.094 20.13259176 19.51892794 1.0
0.414 20.946 19.013 18.254 18.96980289 20.69255375 1.0
0.272 19.324 17.641 17.038 18.76485799 20.63446659 1.0
0.231 19.031 17.46 16.899 20.22052824 20.17843134 1.0
0.783 25.206 22.805 21.402 18.13698487 21.56943665 1.0
0.105 17.032 15.947 15.559 19.73124413 20.69754804 1.0
0.348 20.748 18.795 18.137 17.96236879 21.26964096 1.0
0.463 22.162 20.261 19.334 19.42816469 20.48968076 1.0
0.341 21.532 19.591 18.936 19.78910216 22.07837366 1.0
0.891 25.51 22.726 21.487 18.74853302 19.99157454 1.0
0.599 21.884 20.013 18.68 21.00154182 18.84170069 1.0
0.655 23.021 21.078 19.613 19.76704811 21.61000758 1.0
0.172 17.541 16.205 15.718 17.37561495 21.90176109 1.0
0.512 21.521 19.675 18.558 19.23268585 20.3734891 1.0
0.152 17.458 16.208 15.749 19.38847103 20.61186488 1.0
0.638 23.189 21.261 19.839 19.26225306 22.00880692 1.0
0.264 19.062 17.402 16.81 20.24106586 19.3729743 1.0
0.312 20.856 19.019 18.381 21.39306046 21.4759077 1.0
0.331 19.814 17.9 17.249 19.29990559 20.9502029 1.0
0.221 19.352 17.814 17.262 20.31599805 19.85566861 1.0
0.273 18.955 17.269 16.665 19.48531862 20.01843681 1.0
0.66 22.964 21.019 19.54 19.19635236 22.19489888 1.0
0.51 20.161 18.314 17.204 18.98686108 20.36453762 1.0
0.533 21.568 19.728 18.544 18.44120751 21.6074008 1.0
0.36 19.804 17.839 17.175 18.79012196 21.29647851 1.0
0.349 19.644 17.689 17.031 20.89562039 20.49561224 1.0
0.244 20.154 18.547 17.974 19.13157294 20.7458948 1.0
0.355 20.227 18.265 17.604 19.26447705 18.90388754 1.0
0.704 22.042 20.021 18.467 19.6930073 21.87274119 1.0
0.743 23.867 21.663 20.159 20.06298281 20.52751281 1.0
0.409 20.037 18.099 17.352 18.59860852 20.8909627 1.0
0.434 20.522 18.605 17.787 16.74616575 21.93474002 1.0
0.893 25.198 22.413 21.177 19.88911462 20.657462 1.0
0.381 20.305 18.345 17.657 19.90796136 20.73928369 1.0
0.367 20.527 18.561 17.892 17.81585219 20.9206764 1.0
0.22 18.402 16.869 16.319 20.29789705 21.18507558 1.0
0.289 19.917 18.174 17.55 19.69294522 20.92394121 1.0
0.682 23.224 21.26 19.726 18.98683767 19.9127512 1.0
0.352 20.78 18.821 18.162 18.22717136 22.9374087 1.0
0.35 21.009 19.053 18.394 20.64367901 20.65655828 1.0
0.228 19.256 17.695 17.136 19.51090501 22.02757411 1.0
0.487 21.791 19.917 18.897 17.88990478 21.45990876 1.0
0.713 23.117 21.059 19.508 20.05062341 21.42419013 1.0
0.964 24.907 22.128 20.872 21.77126399 17.6834874 1.0
0.61 22.882 20.996 19.641 20.24271516 22.41725709 1.0
0.556 21.04 19.199 17.954 20.66968982 21.70399196 1.0
0.158 17.363 16.087 15.618 19.62009345 18.98291785 1.0
0.429 20.059 18.139 17.337 20.32858605 21.1323076 1.0
0.392 21.548 19.595 18.885 20.06639106 21.61763824 1.0
0.388 20.447 18.491 17.79 19.75381193 18.88987633 1.0
0.548 23.631 21.791 20.566 18.69072642 21.86652974 1.0
0.26 19.545 17.896 17.308 18.63066905 18.23570304 1.0
0.52 21.531 19.689 18.543 17.89134891 21.12821556 1.0
0.718 23.447 21.366 19.819 20.41974525 22.99130602 1.0
0.688 22.346 20.37 18.828 18.41472567 21.05370009 1.0
0.596 22.715 20.849 19.524 18.72889577 22.54560721 1.0
0.094 15.672 14.617 14.238 17.94046717 20.92192826 1.0
0.455 20.828 18.923 18.029 18.18162219 24.21650139 1.0
0.697 23.408 21.409 19.859 18.8923035 20.99600491 1.0
0.315 19.119 17.267 16.627 19.70248189 20.02013387 1.0
0.6 22.195 20.325 18.991 19.49543284 21.84777807 1.0
0.981 26.411 23.601 22.345 20.67830363 22.05873936 1.0
0.491 21.485 19.618 18.58 20.67780569 19.22929797 1.0
0.747 23.437 21.212 19.719 20.35430787 21.31147353 1.0
0.26 17.091 15.441 14.853 18.33263254 20.6224756 1.0
0.226 19.24 17.685 17.129 20.35927071 22.33189306 1.0
0.907 23.835 21.048 19.815 19.03766619 19.41336015 1.0
0.938 24.972 22.2 20.936 20.92556654 21.28845778 1.0
0.594 23.171 21.307 19.984 17.92874106 20.1529988 1.0
0.164 17.496 16.197 15.72 19.94721651 24.00237834 1.0
0.257 19.696 18.055 17.471 20.58601068 20.97505567 1.0
0.671 23.098 21.147 19.639 20.22749916 22.82339985 1.0
0.231 19.958 18.388 17.828 20.04010014 20.70796038 1.0
0.296 18.94 17.17 16.541 20.05574151 20.13759742 1.0
0.145 18.587 17.366 16.919 19.96626056 23.16036332 1.0
0.481 21.761 19.88 18.88 19.18899174 19.32594475 1.0
0.624 23.497 21.587 20.201 20.07835582 19.63820575 1.0
0.469 21.001 19.105 18.153 19.53336275 22.37987139 1.0
0.199 17.937 16.485 15.963 19.05415828 22.48470275 1.0
0.248 18.633 17.016 16.441 18.23916378 21.49737973 1.0
0.193 17.764 16.338 15.824 19.92157497 22.83731902 1.0
0.491 21.148 19.28 18.242 19.02013036 22.08133198 1.0
0.189 17.22 15.809 15.3 22.07163515 20.4652957 1.0
0.499 22.022 20.165 19.096 20.45763017 20.9060951 1.0
0.961 25.092 22.316 21.061 20.59403635 22.43329845 1.0
0.235 18.966 17.384 16.819 18.99430482 18.5798113 1.0
0.189 16.478 15.067 14.559 20.44016548 19.8370232 1.0
0.339 20.676 18.74 18.086 18.63881929 19.51636068 1.0
0.783 24.079 21.681 20.276 19.22480583 20.20076033 1.0
0.354 20.134 18.173 17.512 20.76021056 20.77954117 1.0
0.179 16.376 15.01 14.514 19.51519749 22.29157227 1.0
0.313 20.188 18.345 17.706 17.50011852 21.82634026 1.0
0.442 20.967 19.054 18.21 19.2793566 21.02274146 1.0
0.606 23.08 21.2 19.855 18.52540641 21.83463731 1.0
0.443 20.802 18.89 18.044 19.11917787 21.49515357 1.0
0.145 17.661 16.438 15.99 18.92214396 20.44669871 1.0
0.671 23.247 21.296 19.788 20.27056983 20.35334239 1.0
0.215 18.634 17.116 16.572 19.14731137 20.72573158 1.0
0.654 23.597 21.655 20.191 20.14603734 22.22485688 1.0
0.532 22.14 20.299 19.117 19.0564213 18.73509001 1.0
0.155 17.489 16.224 15.759 19.72250348 21.18008599 1.0
0.781 22.902 20.514 19.102 18.26035313 23.21854149 1.0
0.532 22.965 21.124 19.941 19.85547184 20.7851981 1.0
0.691 24.333 22.351 20.807 19.64260384 20.49487101 1.0
0.807 24.531 22.02 20.676 18.86482241 19.19293895 1.0
0.358 20.566 18.602 17.939 19.31132683 20.61226129 1.0
0.277 19.765 18.066 17.457 20.14162341 20.86648797 1.0
0.315 19.682 17.832 17.191 20.90315862 21.9089918 1.0
0.618 21.921 20.021 18.649 20.78114437 22.47687194 1.0
0.385 19.36 17.402 16.707 18.39148615 22.2166887 1.0
0.22 17.937 16.403 15.853 19.67952441 21.63507516 1.0
0.281 20.029 18.317 17.703 19.16933595 21.47023109 1.0
0.441 20.984 19.071 18.23 18.47560505 20.3048 1.0
0.179 18.673 17.305 16.808 18.7674077 21.95926297 1.0
0.467 20.797 18.899 17.956 20.74277538 20.91623104 1.0
0.669 23.95 22.0 20.496 19.53308154 22.26258739 1.0
0.681 24.044 22.081 20.548 19.71286984 19.82796996 1.0
0.358 19.38 17.416 16.753 20.23281775 20.89157472 1.0
0.775 23.08 20.72 19.288 20.11592128 21.57564412 1.0
0.243 18.448 16.843 16.27 20.70896705 21.82750036 1.0
0.539 21.654 19.814 18.612 19.77032115 22.2409609 1.0
0.757 23.951 21.675 20.206 20.19470157 21.7952263 1.0
0.891 24.796 22.012 20.774 20.53578224 22.5296461 1.0
0.487 22.458 20.585 19.562 18.00536239 20.68952171 1.0
0.603 21.769 19.893 18.552 21.08319634 20.5061161 1.0
0.186 17.604 16.206 15.701 19.34543355 21.86118 1.0
0.244 19.595 17.988 17.415 19.79394434 20.71726215 1.0
0.33 20.298 18.387 17.738 19.62738609 23.58689982 1.0
0.755 23.648 21.383 19.909 17.34287334 20.05376947 1.0
0.23 19.038 17.471 16.911 19.55774572 19.62250917 1.0
0.467 21.778 19.881 18.935 19.44255148 20.85341088 1.0
0.259 19.849 18.202 17.615 19.100157 22.21020313 1.0
0.337 20.051 18.121 17.467 19.97565129 18.94437278 1.0
0.664 22.826 20.879 19.389 20.42698991 20.9090455 1.0
0.95 25.563 22.793 21.537 17.54835843 22.02935337 1.0
0.284 19.553 17.831 17.214 19.25994609 20.12228625 1.0
0.12 17.679 16.548 16.142 19.73632296 20.13966994 1.0
0.277 19.979 18.281 17.672 20.90361467 21.54907414 1.0
0.45 21.834 19.926 19.051 18.63024608 21.0074552 1.0
0.355 21.099 19.138 18.477 19.53743299 21.97763983 1.0
0.483 21.652 19.773 18.767 20.25396957 21.42418246 1.0
0.283 19.848 18.129 17.513 19.97372953 19.6090523 1.0
0.919 23.914 21.131 19.876 19.87453185 22.41478923 1.0
0.806 23.198 20.688 19.343 17.5118159 21.47921641 1.0
0.225 18.451 16.901 16.346 18.88796302 20.14117967 1.0
0.591 21.406 19.546 18.229 20.09978638 22.42767964 1.0
0.801 23.925 21.44 20.084 20.16372905 21.21940582 1.0
0.582 21.437 19.585 18.286 20.42771586 20.48110753 1.0
0.164 17.963 16.66 16.181 20.18296042 22.74060507 1.0
0.197 18.844 17.397 16.878 18.95248106 22.63882508 1.0
0.152 16.352 15.102 14.643 16.59838368 21.29358907 1.0
0.241 18.438 16.838 16.266 18.55350663 21.65086052 1.0
0.634 23.137 21.212 19.801 19.38991866 20.59375425 1.0
0.534 21.697 19.857 18.67 20.90909803 21.62969706 1.0
0.418 20.859 18.929 18.16 19.57404778 20.6065323 1.0
0.276 19.006 17.311 16.703 20.84895268 20.21349256 1.0
0.141 16.144 14.939 14.499 19.5013509 22.38043859 1.0
0.622 22.818 20.912 19.531 19.92533851 21.44135753 1.0
0.384 20.826 18.868 18.174 19.69654335 20.62191913 1.0
0.435 20.768 18.852 18.03 19.30017866 20.95009399 1.0
0.563 22.223 20.382 19.12 19.83510959 21.59591516 1.0
0.176 17.175 15.821 15.328 18.48966665 22.08563768 1.0
0.426 22.748 20.826 20.032 19.84503625 21.13477443 1.0
0.756 22.625 20.358 18.884 18.98508538 21.2844073 1.0
0.443 20.158 18.246 17.399 17.50548733 20.04489156 1.0
0.426 20.97 19.047 18.255 20.79990623 20.98337476 1.0
0.225 18.047 16.496 15.941 19.18569316 21.02943614 1.0
0.192 18.758 17.335 16.823 21.07879191 21.64588543 1.0
0.862 25.926 23.183 21.922 21.30615033 21.03068265 1.0
0.52 21.126 19.284 18.136 17.77861878 20.47616704 1.0
0.538 22.388 20.548 19.35 19.90142253 19.35618839 1.0
0.658 21.583 19.638 18.162 20.5136448 21.06870834 1.0
0.151 17.823 16.575 16.118 19.9242739 20.62298712 1.0
0.294 19.067 17.304 16.676 19.29725103 22.6367332 1.0
0.2 17.074 15.616 15.092 18.93964065 20.93561535 1.0
0.558 22.031 20.19 18.938 19.47840598 20.64859443 1.0
0.71 22.879 20.833 19.28 18.13743987 19.28658111 1.0
0.468 21.668 19.771 18.824 21.24998335 19.58657846 1.0
0.954 24.417 21.645 20.391 20.42168742 21.86268395 1.0
0.155 17.669 16.406 15.943 19.47915383 20.56428804 1.0
0.543 22.802 20.962 19.751 20.74832221 22.23397537 1.0
0.799 24.491 22.019 20.657 18.89904255 21.83596961 1.0
0.583 21.971 20.119 18.818 18.37568823 21.83015045 1.0
0.292 18.181 16.427 15.8 18.83114825 21.62263524 1.0
0.51 22.123 20.276 19.164 20.41572412 21.25273927 1.0
0.5 21.779 19.923 18.851 19.41179003 21.69309824 1.0
0.323 20.385 18.501 17.855 20.99230373 20.24386096 1.0
0.507 21.004 19.155 18.056 18.39777419 21.64166576 1.0
0.255 19.123 17.486 16.903 19.08612963 21.45122306 1.0
0.345 21.736 19.788 19.131 18.84379262 21.45968861 1.0
0.223 19.296 17.752 17.199 18.4036109 21.59031374 1.0
0.418 21.808 19.879 19.11 19.38628292 21.54524391 1.0
0.759 24.579 22.294 20.828 19.67599015 22.15990811 1.0
0.676 23.478 21.522 20.001 17.90783994 18.15038824 1.0
0.411 20.491 18.555 17.804 19.52044447 20.03344518 1.0
0.108 16.572 15.478 15.087 22.06581717 20.46260264 1.0
0.785 24.458 22.052 20.652 18.44060914 20.96401995 1.0
0.248 16.989 15.372 14.796 20.01199522 22.1688218 1.0
0.753 24.549 22.297 20.817 21.01033097 22.02634785 1.0
0.331 20.83 18.917 18.267 19.04173285 22.02929738 1.0
0.174 17.529 16.184 15.694 19.83774928 19.43665797 1.0
0.268 19.292 17.619 17.021 19.95950948 20.27148122 1.0
0.384 20.31 18.351 17.657 19.94183659 20.56884069 1.0
0.46 22.655 20.752 19.84 20.79723436 20.64780317 1.0
0.346 20.734 18.784 18.127 18.18747721 21.92674524 1.0
0.359 20.066 18.101 17.437 19.27772742 22.59464981 1.0
0.911 25.359 22.573 21.334 19.15855301 19.14659237 1.0
0.48 21.903 20.02 19.023 18.19213829 20.67281913 1.0
0.847 25.868 23.169 21.893 19.293897 21.07386096 1.0
0.474 21.665 19.774 18.8 20.04325859 21.89627981 1.0
0.463 20.357 18.456 17.529 19.32300549 19.64534421 1.0
0.223 18.067 16.524 15.971 19.63031258 21.41595826 1.0
0.564 21.83 19.988 18.724 19.93232613 20.99529767 1.0
0.293 20.614 18.857 18.23 19.72382169 22.39741357 1.0
0.232 19.832 18.259 17.698 20.96731242 19.00962877 1.0
0.905 25.568 22.781 21.548 19.65814374 20.57563142 1.0
0.778 24.803 22.427 21.006 19.93393861 22.62789024 1.0
0.377 19.872 17.909 17.228 18.70879389 19.31541618 1.0
0.533 22.286 20.445 19.261 19.13281284 21.2408396 1.0
0.771 24.837 22.495 21.053 17.90834492 20.85327591 1.0
0.257 18.857 17.216 16.632 19.72819042 20.49251021 1.0
0.755 23.032 20.765 19.292 21.10964354 21.89587052 1.0
0.448 20.437 18.528 17.66 19.48753119 22.84177096 1.0
0.448 20.855 18.946 18.078 20.81232054 20.44495038 1.0
0.148 17.02 15.786 15.334 20.44231893 18.90439624 1.0
0.227 17.621 16.064 15.508 21.14029237 21.995551 1.0
0.575 21.931 20.084 18.798 19.47853787 20.12034487 1.0
0.55 21.315 19.474 18.244 19.75565163 22.37722122 1.0
0.287 19.373 17.64 17.019 20.46415791 21.36723834 1.0
0.297 20.234 18.461 17.831 19.42676745 20.50745656 1.0
0.449 20.643 18.734 17.865 18.6243165 20.58311217 1.0
0.336 19.171 17.244 16.591 19.71360641 22.18054991 1.0
0.476 22.394 20.506 19.525 18.55926017 21.44420538 1.0
0.85 25.238 22.528 21.256 19.11813374 20.7398464 1.0
0.119 17.037 15.908 15.502 20.50705979 20.18168504 1.0
0.62 22.207 20.303 18.925 20.93414155 20.81042834 1.0
0.347 19.181 17.229 16.571 19.38235937 21.30728323 1.0
0.359 20.966 19.001 18.338 19.28178082 21.71085222 1.0
0.212 17.741 16.236 15.697 20.61057375 19.96458772 1.0
0.711 23.397 21.348 19.795 20.89656613 21.41452451 1.0
0.36 20.426 18.461 17.796 18.46576708 18.74217827 1.0
0.43 21.726 19.806 19.0 19.74823217 19.72718533 1.0
0.458 21.612 19.709 18.802 19.60454673 20.7980151 1.0
0.229 19.615 18.053 17.495 19.88587808 23.50828924 1.0
0.361 20.823 18.858 18.192 20.50947601 22.36798176 1.0
0.65 23.007 21.067 19.615 21.17128126 20.14474204 1.0
0.326 19.761 17.866 17.218 17.55616465 18.78502281 1.0
0.345 20.637 18.688 18.031 19.59871316 20.28431473 1.0
0.237 19.446 17.858 17.291 18.22825609 22.33526834 1.0
0.367 21.388 19.422 18.752 17.7695643 21.63159527 1.0
0.466 21.223 19.324 18.384 19.36418638 21.03027282 1.0
0.753 23.895 21.643 20.162 20.86445423 20.43276846 1.0
